dt_zop_rok;quest_class;hermin_class;source;eu20_id;kraj_id;fin_vyuct_verejne;fin_vyuct_czv_wt_pocetobyv;fin_vyuct_eu_wt_pocetobyv;fin_vyuct_sr_wt_pocetobyv;fin_vyuct_sf_wt_pocetobyv;fin_vyuct_kraj_wt_pocetobyv;fin_vyuct_obec_wt_pocetobyv;fin_vyuct_jine_nar_ver_wt_pocetobyv;fin_vyuct_soukr_wt_pocetobyv;fin_vyuct_narodni_verejne_wt_pocetobyv;fin_vyuct_narodni_wt_pocetobyv;fin_vyuct_verejne_wt_pocetobyv;fin_vyuct_czv_wt_pocetkraju;fin_vyuct_eu_wt_pocetkraju;fin_vyuct_sr_wt_pocetkraju;fin_vyuct_sf_wt_pocetkraju;fin_vyuct_kraj_wt_pocetkraju;fin_vyuct_obec_wt_pocetkraju;fin_vyuct_jine_nar_ver_wt_pocetkraju;fin_vyuct_soukr_wt_pocetkraju;fin_vyuct_narodni_verejne_wt_pocetkraju;fin_vyuct_narodni_wt_pocetkraju;fin_vyuct_verejne_wt_pocetkraju;fin_vyuct_czv_wt_cond;fin_vyuct_eu_wt_cond;fin_vyuct_sr_wt_cond;fin_vyuct_sf_wt_cond;fin_vyuct_obec_wt_cond;fin_vyuct_kraj_wt_cond;fin_vyuct_jine_nar_ver_wt_cond;fin_vyuct_narodni_wt_cond;fin_vyuct_narodni_verejne_wt_cond;fin_vyuct_soukr_wt_cond;fin_vyuct_verejne_wt_cond
2015;HC;HC;mssf;EU2020_1;CZ064;0,00;116873576,78472715616;96290971,17733158171;20582605,60739556699991;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;20582605,60739556700;0,00000000000;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;13190081,56142857112;0,0000000000;116873576,78472715616;96290971,17733158171;20582605,60739556700;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;20582605,60739556700;0,00000000000000000000000000;0,00000000000;0,0000000000
2015;HC;HC;mssf;EU2020_1;CZ071;0,00;62556206,44962243736;51539432,93186653405;11016773,51775590516627;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;11016773,51775590517;0,00000000000;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;13190081,56142857112;0,0000000000;62556206,44962243736;51539432,93186653405;11016773,51775590517;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;11016773,51775590517;0,00000000000000000000000000;0,00000000000;0,0000000000
2015;HC;HC;mssf;EU2020_1;CZ072;0,00;57588204,81144164503;47446346,06217884272;10141858,74926280416548;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;10141858,74926280417;0,00000000000;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;13190081,56142857112;0,0000000000;57588204,81144164503;47446346,06217884272;10141858,74926280417;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;10141858,74926280417;0,00000000000000000000000000;0,00000000000;0,0000000000
2015;HC;HC;mssf;EU2020_1;CZ080;0,00;119110133,54327499866;98133647,92513468862;20976485,61814031377435;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;20976485,61814031377;0,00000000000;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;13190081,56142857112;0,0000000000;119110133,54327499866;98133647,92513468862;20976485,61814031377;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;20976485,61814031377;0,00000000000000000000000000;0,00000000000;0,0000000000
2015;INFR;INFR;mssf;NA;CZ051;0,00;26952337,44999999925;22909486,82999999821;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;4042850,62000000104;0,00000000000;26952337,4499999993;22909486,8299999982;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;4042850,62000000104;0,0000000000;26952337,44999999925;22909486,82999999821;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;4042850,62000000104;0,00000000000000000000000000;0,00000000000;0,0000000000
2016;AIS;AIS1;prv;NA;CZ020;0,00;652500,00000000000;322987,00000000000;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;329513,00000000000;0,00000000000;652500,0000000000;322987,0000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;329513,00000000000;0,0000000000;652500,00000000000;322987,00000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;329513,00000000000;0,00000000000000000000000000;0,00000000000;0,0000000000
2016;AIS;AIS1;prv;NA;CZ031;0,00;557400,00000000000;275913,00000000000;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;281487,00000000000;0,00000000000;557400,0000000000;275913,0000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;281487,00000000000;0,0000000000;557400,00000000000;275913,00000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;281487,00000000000;0,00000000000000000000000000;0,00000000000;0,0000000000
2016;AIS;AIS1;prv;NA;CZ032;0,00;2918175,00000000000;1444496,00000000000;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;1473679,00000000000;0,00000000000;2918175,0000000000;1444496,0000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;1473679,00000000000;0,0000000000;2918175,00000000000;1444496,00000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;1473679,00000000000;0,00000000000000000000000000;0,00000000000;0,0000000000
2016;AIS;AIS1;prv;NA;CZ052;0,00;110500,00000000000;54697,00000000000;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;55803,00000000000;0,00000000000;110500,0000000000;54697,0000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;55803,00000000000;0,0000000000;110500,00000000000;54697,00000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;55803,00000000000;0,00000000000000000000000000;0,00000000000;0,0000000000
2016;AIS;AIS1;prv;NA;CZ053;0,00;400000,00000000000;198000,00000000000;0,00000000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;0,000000000000;0,000000000000000000000000000;202000,00000000000;0,00000000000;400000,0000000000;198000,0000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,0000000000000000;0,00000000000;0,00000000000000000000000000;202000,00000000000;0,0000000000;400000,00000000000;198000,00000000000;0,00000000000;0;0,0000000000000000;0,0000000000000000;0,000000000000000000;202000,00000000000;0,00000000000000000000000000;0,00000000000;0,0000000000
