dt_nplus3_rok;quest_class;hermin_class;source;eu20_id;kraj_id;fin_zbyva_verejne;fin_zbyva_czv_wt_pocetobyv;fin_zbyva_eu_wt_pocetobyv;fin_zbyva_sr_wt_pocetobyv;fin_zbyva_sf_wt_pocetobyv;fin_zbyva_kraj_wt_pocetobyv;fin_zbyva_obec_wt_pocetobyv;fin_zbyva_jine_nar_ver_wt_pocetobyv;fin_zbyva_soukr_wt_pocetobyv;fin_zbyva_narodni_verejne_wt_pocetobyv;fin_zbyva_narodni_wt_pocetobyv;fin_zbyva_verejne_wt_pocetobyv;fin_zbyva_czv_wt_pocetkraju;fin_zbyva_eu_wt_pocetkraju;fin_zbyva_sr_wt_pocetkraju;fin_zbyva_sf_wt_pocetkraju;fin_zbyva_kraj_wt_pocetkraju;fin_zbyva_obec_wt_pocetkraju;fin_zbyva_jine_nar_ver_wt_pocetkraju;fin_zbyva_soukr_wt_pocetkraju;fin_zbyva_narodni_verejne_wt_pocetkraju;fin_zbyva_narodni_wt_pocetkraju;fin_zbyva_verejne_wt_pocetkraju;fin_zbyva_czv_wt_cond;fin_zbyva_eu_wt_cond;fin_zbyva_sr_wt_cond;fin_zbyva_sf_wt_cond;fin_zbyva_obec_wt_cond;fin_zbyva_kraj_wt_cond;fin_zbyva_jine_nar_ver_wt_cond;fin_zbyva_narodni_wt_cond;fin_zbyva_narodni_verejne_wt_cond;fin_zbyva_soukr_wt_cond;fin_zbyva_verejne_wt_cond
2021;AIS;AIS1;mssf;EU2020_3;CZ072;3719155,680000000;3719155,680000000;1477803,4366666665;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;2241352,24333333317;0,0000000000000000000000000;2241352,24333333317;3719155,680000000;3719155,680000000;1477803,4366666665;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;2241352,2433333332;0,0000000000000000000000000;2241352,2433333332;3719155,680000000;3719155,680000000;1477803,4366666665;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;2241352,2433333332;0,0000000000000000000000000;2241352,24333333317;3719155,680000000
2021;AIS;AIS1;mssf;EU2020_3;CZ080;14276322,396666666;14276322,396666666;6095746,5266666664;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;8180575,86999999918;0,0000000004268561800320943;8180575,87000000011;14276322,396666666;14276322,396666666;6095746,5266666664;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;8180575,8699999992;0,0000000004268561800320943;8180575,8700000001;14276322,396666666;14276322,396666666;6095746,5266666664;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;8180575,8700000001;0,0000000004268561800320943;8180575,86999999918;14276322,396666666
2021;AIS;AIS2;mssf;EU2020_2;CZ020;80350036,212666661;18944685,076502547;12053404,0208067130;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;6891281,05569583550;-0,0000000003243212440731640;6891281,05569583550;18944685,076502547;34851888,529799998;20970711,7139555551;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;13881176,8158444446;-0,0000000013431741131676569;13881176,8158444427;34851888,529799998;34851888,529799998;20970711,7139555551;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;13881176,8158444427;-0,0000000013431741131676569;13881176,81584444456;34851888,529799998
2021;AIS;AIS2;mssf;EU2020_2;CZ031;59026022,320000000;5622350,640802243;2843878,2065625689;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;2778472,43423967389;0,0000000000000000000000000;2778472,43423967389;5622350,640802243;18776389,335999999;10914942,2929999996;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;7861447,0429999996;0,0000000000000000000000000;7861447,0429999996;18776389,335999999;18776389,335999999;10914942,2929999996;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;7861447,0429999996;0,0000000000000000000000000;7861447,04299999960;18776389,335999999
2021;AIS;AIS2;mssf;EU2020_2;CZ041;4547176,910000000;4547176,910000000;2273588,4600000000;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;2273588,45000000019;0,0000000000000000000000000;2273588,45000000019;4547176,910000000;4547176,910000000;2273588,4600000000;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;2273588,4500000002;0,0000000000000000000000000;2273588,4500000002;4547176,910000000;4547176,910000000;2273588,4600000000;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;2273588,4500000002;0,0000000000000000000000000;2273588,45000000019;4547176,910000000
2021;AIS;AIS2;mssf;EU2020_2;CZ042;37591511,828000002;7268386,407379529;3917431,3174979677;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;3350955,08988156216;-0,0000000001556855572718310;3350955,08988156170;7268386,407379529;9854323,472999999;5304653,6875555553;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;4549669,7854444440;-0,0000000003156148725085788;4549669,7854444440;9854323,472999999;9854323,472999999;5304653,6875555553;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;4549669,7854444440;-0,0000000003156148725085788;4549669,78544444405;9854323,472999999
2021;AIS;AIS2;mssf;EU2020_2;CZ051;40907794,907333329;25878446,297592994;14200768,4812672734;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;11677677,81632572226;-0,0000000008022621963721663;11677677,81632572040;25878446,297592994;22920077,934391793;12545258,1886666659;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;10374819,7457251251;-0,0000000004967053731282552;10374819,7457251251;22920077,934391793;22920077,934391793;12545258,1886666659;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;10374819,7457251251;-0,0000000004967053731282552;10374819,74572512507;22920077,934391793
2021;AIS;AIS2;mssf;EU2020_2;CZ052;14922414,074000001;2034259,742157951;1259493,6714466768;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;774766,07071127510;-0,0000000002146585723871501;774766,07071127463;2034259,742157951;3538783,668133333;2211955,1197333336;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;1326828,5484000002;-0,0000000002980232238769532;1326828,5483999997;3538783,668133333;3538783,668133333;2211955,1197333336;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;1326828,5483999997;-0,0000000002980232238769532;1326828,54840000020;3538783,668133333
2021;AIS;AIS2;mssf;EU2020_2;CZ053;70279283,539999992;21256709,301526271;13202475,7741480879;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;8054233,52737818193;0,0000000006307616939436670;8054233,52737818193;21256709,301526271;26589505,760725122;16298525,6642222218;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;10290980,0965029020;0,0000000007398840453889634;10290980,0965029020;26589505,760725122;26589505,760725122;16298525,6642222218;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;10290980,0965029020;0,0000000007398840453889634;10290980,09650290199;26589505,760725122
2021;AIS;AIS2;mssf;EU2020_2;CZ063;45845236,000000000;45845236,000000000;22840267,6499999985;0,00000000000;0,000000000;0,00000000000000000;0,000000000;0,0000000000000000;23004968,35000000149;0,0000000000000000000000000;23004968,35000000149;45845236,000000000;45845236,000000000;22840267,6499999985;0,0000000000;0,000000000;0,000000000000000000;0,000000000;0,0000000000000000;23004968,3500000015;0,0000000000000000000000000;23004968,3500000015;45845236,000000000;45845236,000000000;22840267,6499999985;0,0000000000;0,000000000;0,000000000;0,00000000000000000;0,0000000000000000;23004968,3500000015;0,0000000000000000000000000;23004968,35000000149;45845236,000000000
