dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2007;PL511;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;PL511;TA;TA;0,0000000;0,0000000000;0,0000000000
2007;PL514;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;PL514;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;PL514;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;PL514;TA;TA;0,0000000;0,0000000000;0,0000000000
2007;PL520;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;PL520;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;PL520;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;PL520;TA;TA;0,0000000;0,0000000000;0,0000000000
2008;CZ010;AIS;AIS2;1043842,0400000;184207,4100000000;1228049,4500000000
2008;CZ010;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ010;AIS;AIS4;1572500000,0000000;277500000,0000000000;1850000000,0000000000
2008;CZ010;AIS;AIS5;3500692,2800000;617769,2200000000;4118461,5000000000
2008;CZ010;HC;HC;154415680,3566667;26493978,8633333333;180909659,2199999988
2008;CZ010;INFR;INFR;242486187,4070000;42791679,5830000043;285277866,9900000095
2008;CZ010;RTD;RTD;13389728,7333333;2036346,4466666665;15426075,1800000016
2008;CZ010;TA;TA;250085104,2973960;42388893,9753059968;292473998,2727019787
2008;CZ020;AIS;AIS2;23116054,0000000;2083800,0000000000;25199854,0000000000
2008;CZ020;AIS;AIS3;1767069,6600000;311835,8300000000;2078905,4900000000
2008;CZ020;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ020;AIS;AIS5;1408381,0000000;0,0000000000;1408381,0000000000
2008;CZ020;HC;HC;27009119,0144800;4853455,8861299995;31862574,9006099999
2008;CZ020;INFR;INFR;439273619,9835700;147275880,4796800017;586549500,4632500410
2008;CZ020;RTD;RTD;34167574,0000000;0,0000000000;34167574,0000000000
2008;CZ020;TA;TA;67643240,8210580;11667357,9666280001;79310598,7876859903
2008;CZ031;AIS;AIS2;14252528,0000000;157875,0000000000;14410403,0000000000
2008;CZ031;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ031;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ031;AIS;AIS5;1977346,7000000;307887,3000000000;2285234,0000000000
2008;CZ031;HC;HC;22061152,8486560;3893144,6221610000;25954297,4708169997
2008;CZ031;INFR;INFR;1437661307,7200000;371350696,9900000095;1809012004,7100000381
2008;CZ031;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ031;TA;TA;59180672,8572080;10420819,1280979998;69601491,9853059947
2008;CZ032;AIS;AIS2;2904659,0000000;18750,0000000000;2923409,0000000000
2008;CZ032;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ032;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ032;AIS;AIS5;4380776,8500000;678972,1500000000;5059749,0000000000
2008;CZ032;HC;HC;2873717,0386560;1838984,9421610001;4712701,9808170004
2008;CZ032;INFR;INFR;231558235,6700000;42192624,9500000030;273750860,6200000048
2008;CZ032;RTD;RTD;14377846,0000000;0,0000000000;14377846,0000000000
2008;CZ032;TA;TA;46633138,0872080;8206548,2980979998;54839686,3853060007
2008;CZ041;AIS;AIS2;9495480,0000000;0,0000000000;9495480,0000000000
2008;CZ041;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ041;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ041;AIS;AIS5;238018,0000000;21135,0000000000;259153,0000000000
