dt_zop_rok;quest_class;hermin_class;source;dt_zop_kvartal;dt_zop_kvartal_datum;kraj_id;fin_vyuct_czv_wt_pocetobyv;fin_vyuct_eu_wt_pocetobyv;fin_vyuct_sr_wt_pocetobyv;fin_vyuct_sf_wt_pocetobyv;fin_vyuct_kraj_wt_pocetobyv;fin_vyuct_obec_wt_pocetobyv;fin_vyuct_jine_nar_ver_wt_pocetobyv;fin_vyuct_soukr_wt_pocetobyv;fin_vyuct_narodni_verejne_wt_pocetobyv;fin_vyuct_narodni_wt_pocetobyv;fin_vyuct_czv_wt_pocetkraju;fin_vyuct_eu_wt_pocetkraju;fin_vyuct_sr_wt_pocetkraju;fin_vyuct_sf_wt_pocetkraju;fin_vyuct_kraj_wt_pocetkraju;fin_vyuct_obec_wt_pocetkraju;fin_vyuct_jine_nar_ver_wt_pocetkraju;fin_vyuct_soukr_wt_pocetkraju;fin_vyuct_narodni_verejne_wt_pocetkraju;fin_vyuct_narodni_wt_pocetkraju;fin_vyuct_czv_wt_cond;fin_vyuct_eu_wt_cond;fin_vyuct_sr_wt_cond;fin_vyuct_sf_wt_cond;fin_vyuct_obec_wt_cond;fin_vyuct_kraj_wt_cond;fin_vyuct_jine_nar_ver_wt_cond;fin_vyuct_narodni_wt_cond;fin_vyuct_narodni_verejne_wt_cond;fin_vyuct_soukr_wt_cond
2015;HC;HC;mssf;4;2015-10-01;CZ064;116873576,7847271561623;96290971,17733158171177;20582605,60739556699991;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;20582605,60739556699991;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;13190081,56142857112;116873576,7847271561623;96290971,17733158171177;20582605,6073955669999;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;20582605,60739556699991;0,000000000000000000000000000;0,00000000000000
2015;HC;HC;mssf;4;2015-10-01;CZ071;62556206,4496224373579;51539432,93186653405428;11016773,51775590516627;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;11016773,51775590516627;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;13190081,56142857112;62556206,4496224373579;51539432,93186653405428;11016773,5177559051663;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;11016773,51775590516627;0,000000000000000000000000000;0,00000000000000
2015;HC;HC;mssf;4;2015-10-01;CZ072;57588204,8114416450262;47446346,06217884272337;10141858,74926280416548;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;10141858,74926280416548;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;13190081,56142857112;57588204,8114416450262;47446346,06217884272337;10141858,7492628041655;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;10141858,74926280416548;0,000000000000000000000000000;0,00000000000000
2015;HC;HC;mssf;4;2015-10-01;CZ080;119110133,5432749986649;98133647,92513468861580;20976485,61814031377435;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;20976485,61814031377435;74896834,7142857164;61706753,1528571397;13190081,56142857112;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;13190081,56142857112;119110133,5432749986649;98133647,92513468861580;20976485,6181403137743;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;20976485,61814031377435;0,000000000000000000000000000;0,00000000000000
2015;INFR;INFR;mssf;3;2015-07-01;CZ051;26952337,4499999992549;22909486,82999999821186;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;4042850,62000000104308;26952337,4499999993;22909486,8299999982;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;4042850,62000000104;26952337,4499999992549;22909486,82999999821186;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;4042850,62000000104308;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ020;652500,0000000000000;322987,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;329513,00000000000000;652500,0000000000;322987,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;329513,00000000000;652500,0000000000000;322987,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;329513,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ031;557400,0000000000000;275913,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;281487,00000000000000;557400,0000000000;275913,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;281487,00000000000;557400,0000000000000;275913,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;281487,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ032;2918175,0000000000000;1444496,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;1473679,00000000000000;2918175,0000000000;1444496,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;1473679,00000000000;2918175,0000000000000;1444496,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;1473679,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ052;110500,0000000000000;54697,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;55803,00000000000000;110500,0000000000;54697,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;55803,00000000000;110500,0000000000000;54697,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;55803,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ053;400000,0000000000000;198000,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;202000,00000000000000;400000,0000000000;198000,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;202000,00000000000;400000,0000000000000;198000,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;202000,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ064;1021523,0000000000000;505653,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;515870,00000000000000;1021523,0000000000;505653,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;515870,00000000000;1021523,0000000000000;505653,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;515870,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS1;prv;4;NA;CZ080;17010994,0000000000000;8420440,00000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;0,00000000000000;0,000000000000000000000000000;8590554,00000000000000;17010994,0000000000;8420440,0000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;0,000000000000;0,00000000000000000000000000;8590554,00000000000;17010994,0000000000000;8420440,00000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;8590554,00000000000000;0,000000000000000000000000000;0,00000000000000
2016;AIS;AIS2;mssf;1;2016-01-01;CZ064;124825,0000000000000;62412,50000000000000;0,00000000000000;0;0,0000000000000000000;0,000000000000000;0,00000000000000000;62412,50000000000000;0,000000000000000000000000000;62412,50000000000000;124825,0000000000;62412,5000000000;0,00000000000;0;0,000000000000000;0,000000000000000;0,0000000000000000;62412,500000000000;0,00000000000000000000000000;62412,50000000000;124825,0000000000000;62412,50000000000000;0,0000000000000;0;0,000000000000000;0,0000000000000000000;0,00000000000000000;62412,50000000000000;0,000000000000000000000000000;62412,50000000000000
