dt_zop_rok;quest_class;hermin_class;source;tc_id;eu20_id;fin_vyuct_czv;fin_vyuct_eu;fin_vyuct_sr;fin_vyuct_sf;fin_vyuct_kraj;fin_vyuct_obec;fin_vyuct_jine_nar_ver;fin_vyuct_soukr;fin_vyuct_narodni_verejne;fin_vyuct_narodni
2017;AIS;AIS1;prv;NA;NA;2641185304,1599998474;1307385896,4300000668;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;0,00000000000;0,0000000000000000000000000000000000000000;1333799407,73000001907
2017;AIS;AIS2;mssf;TC01;EU2020_2;125613642,1099999994;61496963,7599999979;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;64116678,35000000149;0,0000000004656612873077392578125000000000;64116678,35000000149
2017;AIS;AIS2;mssf;TC02;NA;23518880,6299999990;5879720,1500000004;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;17639160,48000000045;-0,0000000004656612873077392578125000000000;17639160,48000000045
2017;AIS;AIS2;mssf;TC03;NA;3243180950,0100002289;1339396598,7500000000;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;1903784351,25999999046;0,0000000029831426218152046203613281250000;1903784351,25999999046
2017;AIS;AIS2;mssf;TC04;EU2020_3;631679635,2599999905;235268430,0600000024;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;396411205,19999998808;-0,0000000028521753847599029541015625000000;396411205,19999998808
2017;AIS;AIS3;mssf;TC01;EU2020_2;8045781,2999999998;4176868,1799999997;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;3868913,12000000011;0,0000000000582076609134674072265625000000;3868913,12000000011
2017;AIS;AIS3;mssf;TC03;NA;450210057,8299999833;192711671,7199999988;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;257498386,11000001431;0,0000000031432136893272399902343750000000;257498386,11000001431
2017;AIS;AIS3;mssf;TC04;EU2020_3;44471619,8999999985;17660448,6900000013;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;26811171,21000000089;0,0000000006984919309616088867187500000000;26811171,21000000089
2017;AIS;AIS4;mssf;TC01;EU2020_2;7291382,0000000000;3281121,8999999999;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;4010260,10000000009;0,0000000000000000000000000000000000000000;4010260,10000000009
2017;AIS;AIS4;mssf;TC02;NA;1665390050,2699999809;653227507,3400000334;0,00000000000;0;0,000000000000000;0,0000000000000000;0,000000000000000;1012162542,92999994755;-0,0000000002764863893389701843261718750000;1010596599,70000004768
